run_id,policy,outcome
313,causal,50328
313,random,47213
313,treat_all,60058
314,random,47164
314,score,50109
314,causal,50109
314,treat_none,45712
314,treat_all,59875
315,treat_all,59966
315,causal,50204
315,score,50204
315,treat_none,45812
315,random,47263
316,random,47268
316,treat_all,59857
316,score,50217
316,treat_none,45886
316,causal,50217
317,treat_all,59820
317,causal,49932
317,score,49932
317,random,46946
317,treat_none,45551
318,treat_all,59870
318,score,50076
318,causal,50076
318,random,47177
318,treat_none,45751
319,score,50199
319,treat_all,59732
319,random,47163
319,causal,50199
319,treat_none,45853
320,causal,50129
320,random,47187
320,treat_all,60005
320,treat_none,45700
320,score,50129
321,treat_none,45699
321,score,50078
321,treat_all,59900
321,random,47157
321,causal,50078
322,score,50215
322,random,47287
322,treat_none,45868
322,treat_all,59951
322,causal,50215
323,causal,49897
323,treat_none,45524
323,random,46911
323,treat_all,59702
323,score,49897
324,treat_none,45781
324,score,50137
324,treat_all,59948
324,random,47179
324,causal,50137
325,score,50122
325,random,47187
325,treat_none,45778
325,causal,50122
325,treat_all,59996
326,score,50334
326,treat_none,45990
326,treat_all,60138
326,random,47444
326,causal,50334
327,score,50162
327,random,47112
327,causal,50162
327,treat_none,45723
327,treat_all,59919
328,causal,50077
328,score,50077
328,treat_none,45612
328,treat_all,59795
328,random,47009
329,treat_none,45734
329,random,47240
329,causal,50153
329,score,50153
329,treat_all,60075
330,random,46911
330,causal,49885
330,treat_none,45462
330,treat_all,59801
330,score,49885
331,random,47059
331,treat_all,59831
331,treat_none,45576
331,causal,49993
331,score,49993
